Block,Level,Unit,Building_name,House_number,Street_name,Township,Postcode,Locality_name,State,,
,,,,24,JALAN SS 17/3B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,104,JALAN SS 17/3B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 17/3B,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,25,JALAN SS 17/3E,SS 17 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,,JALAN SS 18/1,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,83,JALAN SS 18/1,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,123,JALAN SS 18/1,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 18/1A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,12,JALAN SS 18/1A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,43,JALAN SS 18/1B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,115,JALAN SS 18/1B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,57,JALAN SS 18/1B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,51,JALAN SS 18/1C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,139,JALAN SS 18/1C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,133,JALAN SS 18/1C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,106,JALAN SS 18/1C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,59,JALAN SS 18/2,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN SS 18/2,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,14,JALAN SS 18/2A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,17,JALAN SS 18/2A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,38,JALAN SS 18/2B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,15,JALAN SS 18/2B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN SS 18/2C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,50,JALAN SS 18/3,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,36,JALAN SS 18/3A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 18/3A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,49,JALAN SS 18/3C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,42,JALAN SS 18/3E,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,20,JALAN SS 18/3E,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,24,JALAN SS 18/4,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,121,JALAN SS 18/4,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,21,JALAN SS 18/4,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,55,JALAN SS 18/4,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,44,JALAN SS 18/4,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,34,JALAN SS 18/4A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,50,JALAN SS 18/4A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,39,JALAN SS 18/4B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,38,JALAN SS 18/4B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN SS 18/4B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,41,JALAN SS 18/4B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,12,JALAN SS 18/4C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,36,JALAN SS 18/4C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,70,JALAN SS 18/4E,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,13,JALAN SS 18/4E,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,82,JALAN SS 18/4F,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,77,JALAN SS 18/4F,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,60,JALAN SS 18/4F,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,124,JALAN SS 18/4G,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11A,JALAN SS 18/5,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN SS 18/5A,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,17,JALAN SS 18/5B,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,5,JALAN SS 18/5D,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,32,JALAN SS 18/5E,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN SS 18/5F,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,40,JALAN SS 18/5G,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,33,JALAN SS 18/5G,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN SS 18/5H,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,34,JALAN SS 18/5H,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN SS 18/5H,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,23,JALAN SS 18/5H,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 18/3C,SS 18 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,94,JALAN SS 19/1G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN SS 19/6,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
A,2,12,SUBANG PARKHOMES,12,JALAN KEMAJUAN SUBANG,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
F,6,1,SUBANG PARKHOMES,1,JALAN KEMAJUAN SUBANG,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
C,2,2,PANGSAPURI SS19,202,JALAN SS 19/7A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 19/1,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 19/1B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,39,JALAN SS 19/1B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,23,JALAN SS 19/1B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN SS 19/1C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,47,JALAN SS 19/1C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,146,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,64,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,177,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,84,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,142,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,112,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,141,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,183,JALAN SS 19/1F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,102,JALAN SS 19/1G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,73,JALAN SS 19/1G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,49,JALAN SS 19/1H,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN SS 19/1H,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9,JALAN SS 19/1K,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN SS 19/1L,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11,JALAN SS 19/2,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,KERANJI APARTMENT,,JALAN SS 19/3A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
G,3,451,KERANJI APARTMENT,,JALAN SS 19/3A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 19/3A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,9,JALAN SS 19/3C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN SS 19/3C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,20,JALAN SS 19/4,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,61,JALAN SS 19/4,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,17,JALAN SS 19/4,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,69,JALAN SS 19/4,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN SS 19/4A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN SS 19/4B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,14,JALAN SS 19/4B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,5,JALAN SS 19/4B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN SS 19/4,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,6,JALAN SS 19/4G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,37,JALAN SS 19/4G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,25,JALAN SS 19/5,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,57,JALAN SS 19/5,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN SS 19/5A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,44,JALAN SS 19/5B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,91,JALAN SS 19/5B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,127,JALAN SS 19/5B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,30,JALAN SS 19/5C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 19/5C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 19/6N,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,28,JALAN SS 19/1J,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN SS 19/6L,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,7,JALAN SS 19/5F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,12,JALAN SS 19/5F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN SS 19/5F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,20,GERAI KAK INA,20,JALAN SS 19/6,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,30,JALAN SS 19/6U,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,137,JALAN SS 19/6A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,82,JALAN SS 19/6B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,45,JALAN SS 19/6B,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,36,JALAN SS 19/6C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,11A,JALAN SS 19/6C,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,18,JALAN SS 19/6E,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,56,JALAN SS 19/6F,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN SS 19/6G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,29,JALAN SS 19/6G,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,23,JALAN SS 19/6H,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,31,JALAN SS 19/6J,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN SS 19/6K,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,20,JALAN SS 19/6Q,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,15,JALAN SS 19/6R,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,58,JALAN SS 19/6S,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
E,1,209,,,JALAN SS 19/7A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,25,JALAN SS 19/6A,SS 19 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,51,JALAN SHT 1,SUBANG HEIGHTS EAST,47500,SUBANG JAYA,SELANGOR,,
,,,,15,JALAN SHT 2,SUBANG HEIGHTS EAST,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN SHB 10,SUBANG HEIGHTS WEST,47500,SUBANG JAYA,SELANGOR,,
,,,,19,JALAN SHB 5,SUBANG HEIGHTS WEST,47500,SUBANG JAYA,SELANGOR,,
,,,,22,JALAN SHB 8,SUBANG HEIGHTS WEST,47500,SUBANG JAYA,SELANGOR,,
B,28,5,PALOMA SERVICED RESIDENCES AND COURTYARD VILLAS,5,JALAN MP1,SUBANG HI-TECH INDUSTRIAL PARK,47500,SUBANG JAYA,SELANGOR,,
,,,,14,JALAN SS 14/5F,SS 14 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
,,,,76,JALAN SS 15/2D,SS 15 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
I,6,2,,6,JALAN SS 13/1E,SS 13 SUBANG JAYA,47500,SUBANG JAYA,SELANGOR,,
A,,1,EMERSON AUTOMATION SOLUTIONS,,JALAN SS 13/5,SUBANG JAYA INDUSTRIAL ESTATE,47500,SUBANG JAYA,SELANGOR,,
,,,HITACHI CONSTRUCTION MACHINERY (M) SDN BHD,LOT 7,JALAN SS 13/2,SUBANG JAYA INDUSTRIAL ESTATE,47500,SUBANG JAYA,SELANGOR,,
A,25,5,CASA SUBANG APARTMENT,5,JALAN SUBANG 1,SUBANG LIGHT INDUSTRIAL PARK,47500,SUBANG JAYA,SELANGOR,,
,,32,,32,JALAN USJ CENTRAL 3,SUBANG LIGHT INDUSTRIAL PARK,47600,SUBANG JAYA,SELANGOR,,
C,17,3A,LACOSTA,3A,JALAN TASIK SELATAN,BANDAR SUNWAY,47500,SUBANG JAYA,SELANGOR,,
A,22,3A,SUNWAY GEO RESIDENCES,3A,PERSIARAN TASIK TIMUR,SUNWAY SOUTH QUAY,47500,SUBANG JAYA,SELANGOR,,
,1,17,PANGSAPURI MUTIARA SUBANG,LOT 17,JALAN MUTIARA SUBANG 6,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN MUTIARA SUBANG 2,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,58,JALAN MUTIARA SUBANG 2,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,49,JALAN MUTIARA SUBANG 2,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,42,JALAN MUTIARA SUBANG 3,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,26,JALAN MUTIARA SUBANG 6,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,604,,LOT 604,JALAN LAGOON SELATAN,TAMAN PERINDUSTRIAN SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,604,,LOT 604,JALAN LAGOON SELATAN,TAMAN PERINDUSTRIAN SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,6,,6,JALAN TS 6/9,TAMAN PERINDUSTRIAN SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,36,,36,JALAN INDUSTRI USJ 1/12,TAMAN PERINDUSTRIAN USJ 1,47600,SUBANG JAYA,SELANGOR,,
A,10,7,USJ ONE PARK CONDOMINIUM,7,JALAN USJ 1/1,TAMAN SUBANG MEWAH,47500,SUBANG JAYA,SELANGOR,,
,,11,USJ ONE PARK CONDOMINIUM,11,JALAN USJ 1/1,TAMAN SUBANG MEWAH,47500,SUBANG JAYA,SELANGOR,,
,,,,5,JALAN USJ 1/3A,TAMAN SUBANG MEWAH,47500,SUBANG JAYA,SELANGOR,,
,,109,,109,JALAN USJ 1/4G,TAMAN SUBANG MEWAH,47500,SUBANG JAYA,SELANGOR,,
,,,PANGSAPURI ANGSANA,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
H7,7,18,PANGSAPURI ANGSANA,18,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
H1,1,13,PANGSAPURI ANGSANA,13,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
H6,6,16,PANGSAPURI ANGSANA,16,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
G,12,7,PANGSAPURI ANGSANA,7,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
H3,3,20,PANGSAPURI ANGSANA,20,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
F3,3,20,PANGSAPURI ANGSANA,20,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47610,SUBANG JAYA,SELANGOR,,
,8,12,PANGSAPURI ANGSANA,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG MEWAH,47500,SUBANG JAYA,SELANGOR,,
C,9,2,REGINA USJ CONDO,,JALAN SUBANG PERMAI,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
A,8,2,REGINA USJ CONDO,,JALAN SUBANG PERMAI,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
B,10,1,REGINA USJ CONDO,,JALAN SUBANG PERMAI,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
C,2,9,PANGSAPURI PERMAI,,JALAN SUBANG PERMAI,USJ 1,47500,SUBANG JAYA,SELANGOR,,
,,,,41,JALAN USJ 1/25,TAMAN SUBANG PERMAI,47600,SUBANG JAYA,SELANGOR,,
,,,,34,JALAN USJ 1/6,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
P,3,12,PANGSAPURI JATI 1,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
P,4,6,PANGSAPURI JATI 1,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
B,13,6,USJ ONE AVENUE,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
A,1,8,USJ ONE AVENUE,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
B,6,9,USJ ONE AVENUE,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
C,8,3,USJ ONE AVENUE,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
P,8,6,JATI I APARTMENT,,PERSIARAN SUBANG MEWAH,TAMAN SUBANG PERMAI,47500,SUBANG JAYA,SELANGOR,,
B,7,6,LAMAN BAIDURI,,PERSIARAN WANGSA BAIDURI 12/1,TAMAN SUBANG RIA,47500,SUBANG JAYA,SELANGOR,,
,,,,5,PERSIARAN WANGSA BAIDURI 1,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,46,PESIARAN WANGSA BAIDURI 9,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,21,PERSIARAN WANGSA BAIDURI 1,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,SPRING SUMMER VILLA CONDOMINIUM,,PERSIARAN WANGSA BAIDURI 12/1,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,13,11,SPRING SUMMER VILLA CONDOMINIUM,,PERSIARAN WANGSA BAIDURI 12/1,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,29,PERSIARAN WANGSA BAIDURI 2,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,47,PERSIARAN WANGSA BAIDURI 3,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,83,PERSIARAN WANGSA BAIDURI 3,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,60,PERSIARAN WANGSA BAIDURI 3,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,9,PERSIARAN WANGSA BAIDURI 4,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,10,PERSIARAN WANGSA BAIDURI 5,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,38,PERSIARAN WANGSA BAIDURI 6,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,7,PERSIARAN WANGSA BAIDURI 6,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,25,PERSIARAN WANGSA BAIDURI 9,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,54,PERSIARAN WANGSA BAIDURI 9,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,14,PERSIARAN WANGSA BAIDURI 9,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,14,PESIARAN WANGSA BAIDURI 6,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,34,PESIARAN WANGSA BAIDURI 8,TAMAN WANGSA BAIDURI,47500,SUBANG JAYA,SELANGOR,,
,,,,12A,JALAN MUTIARA SUBANG 2,TAMAN MUTIARA SUBANG,47500,SUBANG JAYA,SELANGOR,,
,,,,13A,JALAN USJ 1/1M,USJ PARK ONE,47500,SUBANG JAYA,SELANGOR,,
,,,,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
,,,PERMAI APARTMENT COURT,,JALAN SUBANG 3,TAMAN SUBANG PERMAI,47600,SUBANG JAYA,SELANGOR,,
A,,303,PANGSAPURI PERMAI,,JALAN SUBANG PERMAI,USJ 1,47500,SUBANG JAYA,SELANGOR,,
J,,,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
K,,,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
J,,,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
K,,,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
J,,,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
K,3,5,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
K,,,MERANTI APARTMENT,,PERSIARAN SUBANG MEWAH,USJ 1,47500,SUBANG JAYA,SELANGOR,,
,,,USJ ONE,,PERSIARAN SUBANG PERMAI,USJ 1,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN USJ HEIGHTS 2/1B,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,8,JALAN USJ HEIGHTS 2/1C,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN USJ HEIGHTS 2/1D,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,11A,JALAN USJ HEIGHTS 2/2A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,16,JALAN USJ HEIGHTS 2/2C,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN USJ HEIGHTS 2/2F,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,1,JALAN USJ HEIGHTS 3/1A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN USJ HEIGHTS 3/2E,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,3,JALAN USJ HEIGHTS 3/2F,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,43,JALAN USJ HEIGHTS 4/2A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,2,JALAN USJ HEIGHTS 4/2A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,11A,JALAN USJ HEIGHTS 6/1A,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
,,,,21,JALAN USJ HEIGHTS 6/1C,USJ HEIGHTS,47500,SUBANG JAYA,SELANGOR,,
